"2021 Con1East Gauge ",,,
"Hourly Stream Data (Summary)",,,
,,,
"Dataset Reference Format:",,,
,"[Year of data collection] Stream data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,
," URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].",,
,,,
"Dataset Header Description",,,
,"Column(s)| Variable| Description| [units]",,
,"1st Column  | DateTime| Time stamp of variable collection time* [MM/DD/YY  hr:mm]",,
,"2nd Column|Discharge -L/s|Stream Discharge instantaneous measurements [L/s]",,
,"3rd Column |StreamTemp-C| Stream Temperature [C]",,
,"4th Column |StreamEC-mS/cm| Stream Electrical Conductivity [mS/cm]",,
,,,
,,,
,"**Note: -6999 denotes missing data",,
,,,
,,,
"DateTime","Discharge-L/s","StreamTemp-C","StreamEC-mS/cm"
"1/1/2021 0:00",18.74,0.6,0.069
"1/1/2021 1:00",20.14,0.6,0.069
"1/1/2021 2:00",18.45,0.6,0.069
"1/1/2021 3:00",19.4,0.6,0.069
"1/1/2021 4:00",18.61,0.7,0.069
"1/1/2021 5:00",20.33,0.7,0.069
"1/1/2021 6:00",21.12,0.7,0.069
"1/1/2021 7:00",17.78,0.8,0.069
"1/1/2021 8:00",19.05,0.8,0.069
"1/1/2021 9:00",18.02,0.8,0.069
"1/1/2021 10:00",20.55,0.8,0.069
"1/1/2021 11:00",19.51,0.8,0.069
"1/1/2021 12:00",19.12,0.8,0.07
"1/1/2021 13:00",18.71,0.8,0.07
"1/1/2021 14:00",19.92,0.9,0.07
"1/1/2021 15:00",18.19,0.9,0.07
"1/1/2021 16:00",18.49,0.9,0.07
"1/1/2021 17:00",19.6,0.9,0.07
"1/1/2021 18:00",19.54,0.9,0.07
"1/1/2021 19:00",20.47,0.9,0.07
"1/1/2021 20:00",18.86,0.9,0.07
"1/1/2021 21:00",18.46,0.9,0.069
"1/1/2021 22:00",19.34,0.9,0.07
"1/1/2021 23:00",19.73,0.9,0.07
"1/2/2021 0:00",18.03,0.9,0.07
"1/2/2021 1:00",19.01,0.9,0.07
"1/2/2021 2:00",19.87,0.9,0.07
"1/2/2021 3:00",17.49,0.9,0.07
"1/2/2021 4:00",18.88,0.9,0.07
"1/2/2021 5:00",19.95,0.9,0.07
"1/2/2021 6:00",17.76,1,0.07
"1/2/2021 7:00",20.72,1,0.07
"1/2/2021 8:00",18.29,1,0.07
"1/2/2021 9:00",18.7,1,0.07
"1/2/2021 10:00",18.43,1,0.07
"1/2/2021 11:00",19.41,1,0.07
"1/2/2021 12:00",18.27,1,0.07
"1/2/2021 13:00",19.22,1,0.07
"1/2/2021 14:00",18.83,0.9,0.07
"1/2/2021 15:00",19.73,0.9,0.07
"1/2/2021 16:00",19.27,0.9,0.069
"1/2/2021 17:00",18.86,0.9,0.069
"1/2/2021 18:00",18.65,0.9,0.069
"1/2/2021 19:00",18.93,0.8,0.069
"1/2/2021 20:00",21.15,0.9,0.073
"1/2/2021 21:00",20.58,0.9,0.07
"1/2/2021 22:00",19.91,1,0.07
"1/2/2021 23:00",17.81,1,0.07
"1/3/2021 0:00",19.88,1,0.07
"1/3/2021 1:00",19.66,1,0.07
"1/3/2021 2:00",18.5,1,0.07
"1/3/2021 3:00",17.73,1,0.07
"1/3/2021 4:00",18.04,0.9,0.07
"1/3/2021 5:00",19.85,0.8,0.069
"1/3/2021 6:00",19.58,0.8,0.069
"1/3/2021 7:00",19.13,0.6,0.068
"1/3/2021 8:00",19.34,0.6,0.068
"1/3/2021 9:00",19.6,0.4,0.067
"1/3/2021 10:00",20.97,0.5,0.067
"1/3/2021 11:00",18.12,0.5,0.067
"1/3/2021 12:00",17.91,0.5,0.067
"1/3/2021 13:00",17.59,0.6,0.067
"1/3/2021 14:00",17.88,0.6,0.066
"1/3/2021 15:00",19.01,0.5,0.066
"1/3/2021 16:00",20.69,0.3,0.065
"1/3/2021 17:00",21.96,0.3,0.065
"1/3/2021 18:00",18.48,0.4,0.066
"1/3/2021 19:00",19.06,0.5,0.066
"1/3/2021 20:00",20.42,0.6,0.067
"1/3/2021 21:00",19.98,0.6,0.067
"1/3/2021 22:00",20.84,0.6,0.067
"1/3/2021 23:00",21.46,0.6,0.067
"1/4/2021 0:00",19.67,0.7,0.067
"1/4/2021 1:00",18.39,0.7,0.068
"1/4/2021 2:00",20.28,0.8,0.068
"1/4/2021 3:00",21.81,0.8,0.068
"1/4/2021 4:00",17.89,0.9,0.068
"1/4/2021 5:00",19.83,0.9,0.069
"1/4/2021 6:00",18.34,0.9,0.069
"1/4/2021 7:00",20.48,0.9,0.069
"1/4/2021 8:00",20.32,0.9,0.069
"1/4/2021 9:00",17.88,1,0.069
"1/4/2021 10:00",21.52,1,0.069
"1/4/2021 11:00",19.46,1,0.069
"1/4/2021 12:00",21.77,0.9,0.068
"1/4/2021 13:00",20.65,0.8,0.067
"1/4/2021 14:00",21.55,0.7,0.066
"1/4/2021 15:00",20.76,0.7,0.066
"1/4/2021 16:00",19.66,0.6,0.065
"1/4/2021 17:00",18.82,0.7,0.065
"1/4/2021 18:00",22.93,0.4,0.064
"1/4/2021 19:00",21.48,0.6,0.064
"1/4/2021 20:00",25.97,0.3,0.062
"1/4/2021 21:00",27.15,0.2,0.061
"1/4/2021 22:00",26.52,0.3,0.061
"1/4/2021 23:00",27.38,0.3,0.061
"1/5/2021 0:00",27.62,0.4,0.061
"1/5/2021 1:00",25.34,0.5,0.062
"1/5/2021 2:00",24.67,0.5,0.063
"1/5/2021 3:00",24.12,0.6,0.063
"1/5/2021 4:00",22.69,0.7,0.064
"1/5/2021 5:00",23.44,0.7,0.064
"1/5/2021 6:00",24.83,0.8,0.064
"1/5/2021 7:00",21.54,0.8,0.064
"1/5/2021 8:00",21.93,0.8,0.065
"1/5/2021 9:00",23.45,0.8,0.064
"1/5/2021 10:00",23.27,0.8,0.064
"1/5/2021 11:00",21.1,0.8,0.064
"1/5/2021 12:00",21.42,0.8,0.064
"1/5/2021 13:00",22.42,0.8,0.065
"1/5/2021 14:00",20.55,0.9,0.065
"1/5/2021 15:00",19.69,0.9,0.065
"1/5/2021 16:00",21.19,0.9,0.065
"1/5/2021 17:00",20.1,0.9,0.066
"1/5/2021 18:00",19.23,0.9,0.066
"1/5/2021 19:00",20.47,0.9,0.066
"1/5/2021 20:00",20.51,0.8,0.066
"1/5/2021 21:00",19.6,0.8,0.065
"1/5/2021 22:00",20.62,0.8,0.066
"1/5/2021 23:00",19.69,0.8,0.066
"1/6/2021 0:00",21.47,0.7,0.066
"1/6/2021 1:00",19.35,0.7,0.066
"1/6/2021 2:00",20.64,0.7,0.066
"1/6/2021 3:00",19.57,0.7,0.066
"1/6/2021 4:00",19.66,0.7,0.066
