"2021 Lower Gauge ",,,
"Hourly Stream Data (Summary)",,,
,,,
"Dataset Reference Format:",,,
" ","[Year of data collection] Stream data from Dry Creek Experimental Watershed. Watershed Process Research Group Boise State University",,
" ","URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].",,
,,,
"Dataset Header Description",,,
" ","Column(s)| Variable| Description| [units]",,
" ","1st Column  | DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm]",,
" ","2nd Column|Discharge -L/s|Stream Discharge instantaneous measurements [L/s]",,
" ","3rd Column |StreamTemp-C| Stream Temperature [C]",,
" ","4th Column |StreamEC-mS/cm| Stream Electrical Conductivity [mS/cm]",,
,,,
,,,
" ","**Note: -6999 denotes missing data. Data is provisional during current year. Final corrected data avail at year end or upon request.",,
,,,
,,,
"DateTime","Discharge-L/s","StreamTemp-C","StreamEC-mS/cm"
1/1/2021 0:00,69.59,0.8,0.098
1/1/2021 1:00,70.72,0.8,0.098
1/1/2021 2:00,70.72,0.8,0.098
1/1/2021 3:00,71.87,0.9,0.098
1/1/2021 4:00,72.44,0.9,0.098
1/1/2021 5:00,73.02,0.9,0.098
1/1/2021 6:00,73.61,0.9,0.098
1/1/2021 7:00,74.20,0.9,0.098
1/1/2021 8:00,74.20,0.9,0.098
1/1/2021 9:00,58.96,0.9,0.098
1/1/2021 10:00,56.97,0.9,0.098
1/1/2021 11:00,51.31,0.9,0.098
1/1/2021 12:00,49.51,0.9,0.098
1/1/2021 13:00,50.85,0.9,0.098
1/1/2021 14:00,52.69,1.0,0.098
1/1/2021 15:00,51.31,1.2,0.098
1/1/2021 16:00,55.52,1.3,0.098
1/1/2021 17:00,52.69,1.4,0.098
1/1/2021 18:00,56.00,1.4,0.098
1/1/2021 19:00,58.46,1.4,0.098
1/1/2021 20:00,55.52,1.4,0.098
1/1/2021 21:00,41.56,1.4,0.098
1/1/2021 22:00,41.56,1.4,0.098
1/1/2021 23:00,42.35,1.4,0.098
1/2/2021 0:00,52.69,1.4,0.098
1/2/2021 1:00,51.31,1.3,0.098
1/2/2021 2:00,49.95,1.3,0.098
1/2/2021 3:00,48.63,1.3,0.098
1/2/2021 4:00,45.21,1.2,0.098
1/2/2021 5:00,41.17,1.2,0.098
1/2/2021 6:00,41.56,1.2,0.098
1/2/2021 7:00,42.35,1.2,0.098
1/2/2021 8:00,42.75,1.2,0.098
1/2/2021 9:00,42.35,1.3,0.098
1/2/2021 10:00,42.35,1.3,0.098
1/2/2021 11:00,41.96,1.4,0.098
1/2/2021 12:00,42.35,1.5,0.098
1/2/2021 13:00,41.96,1.7,0.097
1/2/2021 14:00,41.96,1.8,0.097
1/2/2021 15:00,41.56,1.8,0.098
1/2/2021 16:00,41.96,1.9,0.097
1/2/2021 17:00,41.96,2.0,0.097
1/2/2021 18:00,41.56,2.0,0.098
1/2/2021 19:00,41.56,1.9,0.098
1/2/2021 20:00,40.78,1.9,0.098
1/2/2021 21:00,41.17,1.9,0.098
1/2/2021 22:00,41.17,1.9,0.098
1/2/2021 23:00,40.78,1.8,0.098
1/3/2021 0:00,41.17,1.9,0.098
1/3/2021 1:00,42.35,1.8,0.098
1/3/2021 2:00,43.97,1.8,0.097
1/3/2021 3:00,52.22,1.8,0.096
1/3/2021 4:00,54.09,1.8,0.096
1/3/2021 5:00,49.07,1.7,0.095
1/3/2021 6:00,57.47,1.7,0.099
1/3/2021 7:00,60.99,1.6,0.098
1/3/2021 8:00,66.82,1.2,0.079
1/3/2021 9:00,67.92,1.2,0.109
1/3/2021 10:00,65.73,1.3,0.108
1/3/2021 11:00,63.59,1.6,0.108
1/3/2021 12:00,64.12,1.8,0.109
1/3/2021 13:00,63.59,1.9,0.113
1/3/2021 14:00,64.65,2.0,0.112
1/3/2021 15:00,64.12,2.2,0.117
1/3/2021 16:00,62.54,2.1,0.114
1/3/2021 17:00,62.02,2.1,0.116
1/3/2021 18:00,61.50,2.1,0.116
1/3/2021 19:00,57.96,2.1,0.114
1/3/2021 20:00,56.00,2.1,0.117
1/3/2021 21:00,56.97,2.0,0.115
1/3/2021 22:00,56.49,1.9,0.116
1/3/2021 23:00,54.56,1.9,0.116
1/4/2021 0:00,52.69,1.9,0.119
1/4/2021 1:00,51.76,1.9,0.119
1/4/2021 2:00,50.40,1.9,0.12
1/4/2021 3:00,50.85,1.9,0.12
1/4/2021 4:00,50.40,1.9,0.121
1/4/2021 5:00,49.95,2.0,0.121
1/4/2021 6:00,49.51,2.0,0.123
1/4/2021 7:00,48.19,2.1,0.12
1/4/2021 8:00,47.75,2.1,0.125
1/4/2021 9:00,48.19,2.2,0.125
1/4/2021 10:00,47.75,2.3,0.125
1/4/2021 11:00,48.63,2.4,0.125
1/4/2021 12:00,50.85,2.5,0.121
1/4/2021 13:00,53.15,2.6,0.121
1/4/2021 14:00,56.49,2.7,0.12
1/4/2021 15:00,58.46,2.8,0.12
1/4/2021 16:00,59.97,2.9,0.123
1/4/2021 17:00,62.02,2.9,0.119
1/4/2021 18:00,62.54,3.0,0.121
1/4/2021 19:00,64.65,3.1,0.12
1/4/2021 20:00,69.59,3.0,0.118
1/4/2021 21:00,73.02,2.8,0.119
1/4/2021 22:00,79.62,2.7,0.118
1/4/2021 23:00,82.12,2.6,0.117
1/5/2021 0:00,89.95,2.4,0.12
1/5/2021 1:00,92.66,2.3,0.121
1/5/2021 2:00,89.27,2.3,0.12
1/5/2021 3:00,87.94,2.1,0.12
1/5/2021 4:00,81.49,2.0,0.119
1/5/2021 5:00,79.62,1.9,0.119
1/5/2021 6:00,79.01,1.9,0.118
1/5/2021 7:00,74.79,1.7,0.119
1/5/2021 8:00,71.87,1.6,0.119
1/5/2021 9:00,66.27,1.4,0.12
1/5/2021 10:00,64.12,1.3,0.12
1/5/2021 11:00,62.54,1.2,0.12
1/5/2021 12:00,60.99,1.1,0.12
1/5/2021 13:00,62.54,1.2,0.122
1/5/2021 14:00,62.02,1.4,0.119
1/5/2021 15:00,60.99,1.5,0.12
1/5/2021 16:00,60.99,1.8,0.121
1/5/2021 17:00,60.99,1.9,0.121
1/5/2021 18:00,59.46,1.9,0.12
1/5/2021 19:00,57.96,1.8,0.121
1/5/2021 20:00,56.97,1.7,0.122
1/5/2021 21:00,55.04,1.6,0.122
1/5/2021 22:00,55.04,1.5,0.122
1/5/2021 23:00,54.09,1.4,0.123
1/6/2021 0:00,53.62,1.3,0.124
1/6/2021 1:00,54.09,1.2,0.124
1/6/2021 2:00,52.69,1.1,0.124
1/6/2021 3:00,52.22,1.0,0.123
1/6/2021 4:00,52.22,1.0,0.124
1/6/2021 5:00,52.69,0.9,0.124
1/6/2021 6:00,51.76,0.9,0.125
1/6/2021 7:00,51.31,0.8,0.125
